EcoServ,Response,Key word,Notes,EF,ES,no selection,Proxy for ES
Pollination,bird functional diversity,service provider diversity/richness/composition,,1,0,0,0
Pollination,Community structure of flower longicorn beetles,Service provider diversity/richness/composition,,0,0,0,1
SoilProtect,ant assemblage composition,service provider diversity/richness/composition,,0,0,0,1
SoilProtect,ant species richness,service provider diversity/richness/composition,,1,0,0,0
Food,genera richness,"Service provider diversity/richness/composition, Exploitation/harvest",,0,0,1,0
CulturePsych,fish functional group biodiversity,"Service provider diversity/richness/composition, Service provider function/functional traits",,0,1,0,0
coastWQReg,coral rugosity,Service provider function/functional traits,,0,0,0,1
CulturePsych,coral functional traits,Service provider function/functional traits,,0,0,0,1
freshWQReg,bryophyte water holding capacity,Service provider function/functional traits,new category or could be Biotic characteristics of the landscape: aquatic,0,0,0,1
HabCreate,coral functional traits (Age and size at maturity,Service provider function/functional traits,,0,0,0,1
HabCreate,coral rugosity,Service provider function/functional traits,,0,0,0,1
HabCreate,coral survival,Service provider function/functional traits,maybe,1,0,0,0
HabCreate,dispersal distance,Service provider function/functional traits,maybe,1,0,0,0
HabCreate,fish functional group,Service provider function/functional traits,,0,0,0,1
Hazards,coral functional traits (Colony maximum diameter,Service provider function/functional traits,,0,0,0,1
Hazards,coral rugosity,Service provider function/functional traits,,0,0,0,1
MaintainOpts,fish traits,Service provider function/functional traits,,1,0,0,0
MaintainOpts,Invertebrate traits,Service provider function/functional traits,,1,0,0,0
PestPath,Bird functional traits (related to foraging),Service provider function/functional traits,new category,0,0,0,1
SoilProtect,Detritivore feeding rate,Service provider function/functional traits,,0,0,0,1
SoilProtect,earthworm functional traits,Service provider function/functional traits,,0,0,0,1
SoilProtect,Earthworm physical properties,Service provider function/functional traits,,0,0,0,1
Pollination,functional evenness,"Service provider function/functional traits, Service provider diversity/abundance/composition",,0,0,0,1
SoilProtect,functional diversity,"Service provider function/functional traits, Service provider diversity/abundance/composition",,1,0,0,0
AQReg,N deposition,Soil characteristics,vague,0,0,0,1
AQReg,N storage,Soil characteristics,vague,0,1,0,0
ClimReg,N avaliability,Soil characteristics,vague,0,1,0,1
CulturePsych,gravimetric soil water,Soil characteristics,,0,0,0,1
freshWQReg,N retention,Soil characteristics,vague,0,1,0,0
SoilProtect,available P,Soil characteristics,,0,0,0,1
SoilProtect,C:N ratio,Soil characteristics,,0,0,0,1
SoilProtect,Ca-P,Soil characteristics,,0,0,0,1
SoilProtect,detrital P,Soil characteristics,,0,0,0,1
SoilProtect,erosion,Soil characteristics,,1,0,0,0
SoilProtect,erosion control,Soil characteristics,,0,1,0,0
SoilProtect,erosion control capacity,Soil characteristics,,0,0,0,1
SoilProtect,erosion mitigation,Soil characteristics,,0,1,0,0
SoilProtect,Erosion modulus,Soil characteristics,,0,1,0,0
SoilProtect,exchangeable base cations (Ca,Soil characteristics,,0,0,0,1
SoilProtect,impact intensity (tons of soil),Soil characteristics,or abiotic characteristics of the landscape:terrestrial,0,1,0,0
SoilProtect,inorganic N supply,Soil characteristics,,0,1,0,0
SoilProtect,many soil chemistry variables,Soil characteristics,,1,0,0,0
SoilProtect,Mg,Soil characteristics,Magnesium ?,0,0,0,1
SoilProtect,Microbial basal respiration,Soil characteristics,,1,0,0,0
SoilProtect,N,Soil characteristics,Nitrogen ?,1,0,0,1
SoilProtect,N mineralisation rate,Soil characteristics,vague,0,0,0,1
SoilProtect,N mineralization rate,Soil characteristics,vague,1,0,0,0
